,prompts
67,"Generate an image with no text or watermark. The picture should depict a serene scene inspired by ancient Chinese style. In the foreground, there should be a pair of wooden doors, painted in a deep red color, slightly ajar. Surrounding the doors, the autumn grass is a vibrant shade of green, gently swaying in the breeze. The absence of any vehicles or horses throughout the day creates a sense of tranquility and solitude. The background should feature a picturesque landscape, with rolling hills covered in lush, green trees. The sky above should be a clear, pale blue, adorned with wispy white clouds. The overall ambiance should evoke a feeling of peacefulness and simplicity."
68,"Create a serene image with no text or watermark. The picture should depict a tranquil scene inspired by ancient Chinese style. In the foreground, there are vibrant flowers in various colors, filling a rocky valley. The flowers should be positioned randomly, creating a natural and organic feel. In the middle ground, a cascading waterfall reflects the surrounding tall, green pine and cedar trees. The water should appear crystal clear, shimmering in the sunlight. The background should showcase a misty mountain range, painted in soft shades of blue and purple, evoking a sense of depth and mystery. The overall color palette should be warm and earthy, with hints of vibrant hues from the flowers."
69,"Create an image with a serene and ancient Chinese setting. In the foreground, position a solitary monk dressed in saffron robes, standing on a hilltop. The monk should be facing towards the viewer, with a broom in hand, sweeping away the dust and debris from a humble thatched hut. The hut should be positioned slightly below the hill, nestled amidst lush greenery.

The color palette of the image should be warm and earthy, with shades of green, brown, and gold dominating the scene. The background should depict rolling hills, adorned with ancient pine trees and blooming cherry blossoms. A gentle mist should envelop the landscape, adding an ethereal touch.

Ensure that the image does not contain any text or watermarks, allowing the viewer to fully immerse themselves in the tranquil ambiance of the ancient Chinese setting."
70,"Create an image with a serene and ancient Chinese setting. The picture should feature a vibrant green willow tree on the left side of the image, with a beautiful yellow oriole perched on one of its branches. The oriole should be singing, symbolizing the arrival of spring. On the right side of the image, there should be a long corridor with a tiled roof, representing a traditional Chinese architecture. The corridor should be surrounded by gentle rain, depicted with soft blue droplets falling from the sky. The background should be a misty landscape with rolling hills and a tranquil river, painted in shades of pale green and light blue. Ensure that there are no texts or watermarks in the generated image."
71,"Create an image with a serene and ancient Chinese setting. In the foreground, place a colorful silk road with vibrant hues of red, blue, and gold. The road should lead towards a majestic palace with ornate rooftops adorned with fluttering silk banners. The palace should be situated amidst a lush green forest, with towering ancient trees surrounding it. The background should feature misty mountains, symbolizing tranquility and wisdom. Ensure that there are no texts or watermarks in the image."
72,"Create a serene painting with ancient Chinese style. The picture should depict a tranquil scene with a clear blue sky and lush green mountains in the background. In the foreground, there should be a winding river flowing through the landscape. On the riverbank, place two friends sitting together, one wearing a flowing white robe and the other wearing a deep blue robe. They are engaged in deep conversation, their faces filled with joy and contentment. The colors in the painting should be vibrant and harmonious, reflecting the beauty of nature. Ensure that there are no texts or watermarks in the generated image."
73,"Generate an image with a serene landscape. The foreground should depict a clear, flowing river, shimmering in shades of white. In the middle ground, there should be lush green fields, extending into the distance. Behind the fields, majestic emerald mountains rise, their peaks disappearing into the sky. The scene should be set in ancient China, with traditional architecture and elements. Ensure that there are no texts or watermarks in the generated image."
74,"Generate an image with no text or watermark. The picture should depict a serene scene in ancient China. In the foreground, there should be a person dressed in traditional Chinese clothing, standing near a flowing river. The person's attire should be in vibrant colors like red and gold, symbolizing prosperity and good fortune. The river should be clear and calm, reflecting the person's reflection. In the background, there should be a picturesque landscape with lush green mountains and a pagoda-style building nestled among the trees. The mountains should be shrouded in mist, creating a sense of tranquility and mystery. The overall color palette should be warm and earthy, with shades of green, brown, and gold dominating the scene. The image should evoke a feeling of nostalgia and longing, capturing the emotions described in the poem."
75,"Create a serene image with an ancient Chinese style. The picture should feature a small boat floating on a tranquil lake, surrounded by lush greenery. The boat should be painted in a deep crimson color, positioned in the center of the image. The lake should be calm and reflective, mirroring the vibrant colors of the surrounding landscape. The background should be adorned with traditional Chinese architecture, showcasing elegant pagodas and delicate bridges. The scene should be set during sunset, with warm hues of orange and gold painting the sky. Ensure that there are no texts or watermarks in the generated image."
76,"Create a serene image with a Chinese ancient style. The picture should depict a boat floating on a vast river. The boat should be colored in a deep shade of brown, positioned in the center of the image. The river should be wide and calm, reflecting the surrounding scenery. The background should consist of rolling hills covered in lush greenery, with a few ancient-style buildings nestled among the hills. The buildings should be colored in shades of gray and brown, blending harmoniously with the natural landscape. The sky should be a soft shade of blue, with wisps of white clouds scattered across it. Ensure that there are no text or watermarks in the generated image."
77,"Generate an image with a vibrant red sun filling the sky, casting its fiery glow upon the earth. The sun should be positioned high above, dominating the center of the image. Surrounding the sun, create billowing clouds that resemble majestic mountains, their edges tinged with shades of orange and gold. The background should depict an ancient Chinese landscape, with rolling hills, lush greenery, and traditional architecture. The scene should exude a sense of tranquility and serenity, with a calm river flowing through the landscape. Ensure that there are no text or watermarks present in the generated image."
78,"Create a serene image with an ancient Chinese style. The picture should depict a landscape with over ten thousand tall, green trees standing gracefully. In the center, a clear stream flows peacefully. The trees should be painted in various shades of green, while the stream should be depicted with a gentle blue color. The background should be a picturesque scene, with rolling hills, distant mountains, and a soft, pinkish-orange sky. Ensure that there are no texts or watermarks in the generated image."
79,"Generate an image with no text or watermark. The picture should depict a serene scene inspired by ancient Chinese style. In the foreground, there should be a beautiful woman wearing a flowing, vibrant red dress, positioned slightly off-center. She exudes elegance and grace. Surrounding her are delicate cherry blossom trees, their pink petals gently falling. In the background, a tranquil river flows, reflecting the soft hues of the setting sun. The distant mountains, painted in shades of blue and green, create a picturesque backdrop. The overall color scheme should be warm and inviting, with a touch of ethereal beauty."
80,"Create a stunning image with no text or watermark. The picture should depict a scene from ancient China. In the foreground, position colorful banners and flags facing each other. Include a group of musicians playing the flute and drums, expressing a sense of sorrow. The background should showcase a serene landscape with mountains, rivers, and traditional Chinese architecture. Use warm, earthy tones to evoke a nostalgic and ancient atmosphere. Remember, the generated image should not contain any text or watermark."
81,"Create a serene image with an ancient Chinese style. The picture should depict a tranquil scene with a river flowing through a lush green landscape. In the foreground, there should be a small wooden boat painted in a soft shade of vermilion, positioned slightly off-center. The boat should be empty, symbolizing the desire for companionship expressed in the poem. The river should be calm, reflecting the surrounding scenery. The background should showcase misty mountains in shades of indigo and jade, evoking a sense of mystery and tranquility. The sky should be a pale blue, adorned with wispy clouds. Ensure that there are no text or watermarks in the generated image."
82,"Create a stunning image with no text or watermark. The picture should depict an ancient Chinese scene. In the foreground, position a magnificent golden sword adorned with precious jewels. The sword should be placed in the center, radiating power and elegance. The background should showcase a grand white jade palace, symbolizing the emperor's majestic court. The palace should be surrounded by lush gardens and towering mountains, evoking a sense of tranquility and grandeur. The color palette should consist of rich, vibrant hues, reflecting the opulence of the imperial era. Ensure that the image captures the essence of ancient Chinese culture and conveys a feeling of awe and reverence."
83,"Create a serene painting with a Chinese theme. The picture should depict a beautiful garden with vibrant colors. In the center, there should be a graceful peacock with its feathers spread wide, displaying a magnificent array of colors - emerald green, sapphire blue, and golden yellow. The peacock should be positioned on a stone bridge over a tranquil pond, surrounded by blooming lotus flowers in shades of pink and white. In the background, there should be a traditional Chinese pavilion with a curved roof, adorned with intricate carvings and red lacquer. The pavilion should be nestled among lush green trees and rolling hills, creating a picturesque landscape. The overall color scheme should be rich and vibrant, with a warm golden glow from the setting sun. Ensure that there are no watermarks or text in the generated image."
84,"Generate an image with a serene and ancient Chinese setting. The picture should depict a lush green forest with towering trees and rocky caves. In the foreground, there should be a person dressed in traditional Chinese clothing, carefully picking medicinal herbs. The person's attire should be in vibrant colors like red or blue, standing out against the natural surroundings. The background should be a picturesque landscape with misty mountains, a flowing river, and a traditional Chinese pavilion. Ensure that there are no watermarks or text in the generated image."
85,"Create a serene painting with a cascading waterfall in the center, surrounded by vibrant green trees and moss-covered rocks. The waterfall should be depicted in shades of white and blue, with water forcefully gushing down. The rocks should be large and irregularly shaped, appearing as if they are about to topple over. The background should be a misty landscape with distant mountains, painted in soft shades of gray and blue. The scene should evoke a sense of ancient Chinese tranquility and beauty. Ensure that there are no text or watermarks in the generated image."
86,"Generate an image with no text or watermark. The image should depict a scene inspired by ancient Chinese style. In the center of the image, there is a high city wall with a gate. The city wall is made of gray stone and has intricate carvings. On top of the wall, there are musicians playing traditional Chinese instruments, surrounded by a soft glow of moonlight. The musicians are wearing colorful traditional robes, and their instruments are adorned with delicate patterns. The moon is large and bright, casting a gentle light over the entire scene. The background should be a serene landscape with rolling hills, a calm river, and a few ancient buildings in the distance. The colors in the image should be muted, with shades of blue, gray, and white dominating the scene."
87,"Create an image with a serene background of a traditional Chinese garden. In the foreground, place a delicate cherry blossom tree with pink blossoms on the left side of the image. On the right side, position a small stone bridge over a tranquil pond filled with colorful koi fish. The bridge should be made of gray stone and adorned with intricate carvings. Surrounding the pond, add lush greenery and vibrant flowers in various shades of red, yellow, and purple.

The background should depict a misty mountain range with peaks covered in lush vegetation. The mountains should fade into a soft shade of blue as they recede into the distance. The sky should be a pale, pastel blue with wispy white clouds scattered across it.

Ensure that there are no visible texts or watermarks in the generated image."
88,"Create a serene image with an ancient Chinese style. The picture should depict a white horse, symbolizing purity and grace, standing in front of a majestic bronze dragon gate. The horse should be positioned in the center of the image, its color contrasting against the gate's metallic hue. The dragon gate should be intricately designed, with a weathered appearance, showcasing the craftsmanship of ancient China. The background should be a tranquil scene, with lush greenery and a clear blue sky, evoking a sense of peace and harmony. Ensure that there are no texts or watermarks in the generated image."
89,"Create a serene image with no text or watermark. The picture should depict a scene inspired by ancient Chinese style. In the foreground, there is a white grass covered in frost, symbolizing purity and tranquility. Adjacent to it, there is a withered tree, representing the passage of time and the cycle of life. The moon shines brightly in the clear sky, casting a gentle glow on the surroundings. The background should be a picturesque landscape, featuring misty mountains, a flowing river, and traditional Chinese architecture. The color palette should consist of soft, muted tones, with hints of blue, gray, and white to evoke a sense of calmness and nostalgia."
90,"Create a serene image with an ancient Chinese style. The picture should depict a river flowing beneath a city wall. The river, colored in a calm blue, should be positioned in the foreground, reflecting the surrounding scenery. On the riverbank, there should be a majestic yellow crane tower, standing tall and elegant. The tower should be positioned slightly to the right of the image, with its reflection shimmering in the water. The background should showcase a picturesque landscape, with rolling hills, lush greenery, and a clear blue sky. The scene should evoke a sense of tranquility and nostalgia. Ensure that there are no texts or watermarks in the generated image."
91,"Generate an image with a serene atmosphere depicting an ancient Chinese scene. The foreground should feature a person sitting in a traditional Chinese room, playing a white qin (a Chinese musical instrument) with a melancholic expression. The qin should be placed on a wooden table adorned with delicate carvings. The room should be decorated with antique furniture and a vase of fresh flowers. The person should be dressed in traditional Chinese clothing, sitting on a cushioned chair. The background should showcase a picturesque landscape with rolling hills, a tranquil river, and a small pavilion nestled among lush trees. The color palette should consist of soft, muted tones, with hints of green, blue, and earthy hues. Ensure that there are no text or watermarks in the generated image."
92,"Create a serene image with an ancient Chinese style. The picture should depict a tranquil countryside scene with a clear, cold spring. In the foreground, there is a small wooden bridge spanning the spring, painted in a traditional vermilion color. On the bridge, there is a stone lantern, moss-covered and weathered. The lantern emits a soft, warm glow, casting gentle shadows on the surrounding area. In the background, there are lush green fields dotted with blooming wildflowers. The fields stretch towards a distant mountain range, shrouded in mist. The sky is a pale blue, adorned with wispy clouds. Ensure that there are no text or watermarks in the generated image."
93,"Create a serene image with an ancient Chinese style. The picture should depict a mountain landscape with clouds floating above. The mountains should be painted in shades of green and gray, while the clouds should be soft and white. Position the mountains on the left side of the image, stretching towards the center. The sky should be a light blue color, gradually fading into a pale yellow as it approaches the horizon. In the foreground, include a small river flowing peacefully through the scene, reflecting the colors of the sky. Surround the river with lush green trees and delicate flowers. Ensure that there are no visible texts or watermarks in the generated image."
94,"Generate an image with two young girls in an ancient Chinese setting. The girls should have long black hair, reaching down to their waists. One girl should be positioned on the left side of the image, wearing a vibrant red dress, while the other girl should be on the right side, wearing a delicate pink dress. The background should depict a serene garden with blooming cherry blossom trees, symbolizing the passage of time. The scene should be set during sunset, with warm hues of orange and gold filling the sky. Ensure that there are no watermarks or text in the generated image."
95,"Generate an image with a serene and melancholic atmosphere. The picture should depict a vast, desolate landscape in shades of cool blue and gray. In the foreground, place a weeping willow tree with long, drooping branches, its leaves tinged with a hint of silver. Underneath the tree, position a small, stone bridge spanning a tranquil river, its waters reflecting the muted colors of the sky. On the other side of the bridge, include a solitary figure dressed in traditional Chinese attire, standing with their back turned towards the viewer, gazing into the distance. Surrounding the landscape, create a backdrop of mist-covered mountains, fading into the horizon. Ensure that there are no visible texts or watermarks in the generated image."
96,"Generate an image with no text or watermark. The picture should depict a scene inspired by ancient Chinese style. In the foreground, there are several drums neatly stacked on top of each other. The drums are painted in vibrant colors, such as red, yellow, and green. They are positioned to create a sense of movement and rhythm. In the background, there is a majestic cityscape with towering buildings and traditional Chinese architecture. The buildings are adorned with colorful banners that flutter in the cold autumn breeze. The scene is bathed in the warm glow of the setting sun, casting a golden light on the entire city. The overall color palette should be rich and vibrant, with deep reds, warm yellows, and earthy greens dominating the image."
97,"Create an image with a serene background of ancient Chinese style. In the foreground, position a group of Qin soldiers dressed in dark blue armor, surrounding the city of Handan. Their expressions should convey urgency and determination. On the other side, depict the Wei king, adorned in regal attire, standing in front of a palace. His face should reflect a sense of indifference or reluctance. Ensure that there are no texts or watermarks in the generated image. The background should be a picturesque landscape with rolling hills, lush greenery, and a calm river flowing nearby."
98,"Generate an image with a serene and ancient Chinese setting. The picture should depict a moonlit night with a clear view of the moon. In the foreground, there should be a traveler playing a flute on a hilltop. The traveler should be dressed in traditional Chinese attire, with a dark-colored robe and a hat. The flute should be wooden and have a soft, warm tone. The traveler should be positioned slightly to the left of the image, with the moon shining brightly behind him. The background should consist of rolling hills and a winding path leading towards a distant ancient Chinese city. The hills should be lush green, and the city should be adorned with traditional Chinese architecture, such as pagodas and curved roofs. The overall color scheme should be warm and earthy, with shades of green, brown, and gold. The image should evoke a sense of tranquility and nostalgia, capturing the emotions of the poem. There should be no text or watermark in the generated image."
99,"Generate an image with no text or watermark. The image should depict a scene inspired by ancient Chinese style. In the foreground, there should be a warrior wearing iron armor, the color of snow, holding a precious sword adorned with star patterns. The warrior is standing under the majestic Helan Mountain, where clouds gather like an army. The background should be a serene landscape, painted in traditional Chinese style, with soft hues of green and blue, depicting rolling hills, a tranquil river, and a graceful pavilion. The overall atmosphere should evoke a sense of awe and tranquility."
100,"Create a stunning image with no text or watermark. The picture should depict a serene scene inspired by ancient Chinese culture. In the foreground, position a pair of vibrant red drums, symbolizing power and passion. The drums should be placed on a tranquil beach, with the waves of a vast ocean crashing in the background. The color palette should consist of soft, muted tones, reflecting the peacefulness of the setting. The scene should be illuminated by the gentle glow of the moon, casting a serene light on the entire landscape. The architecture and surroundings should be reminiscent of ancient Chinese style, with traditional buildings and lush greenery. Ensure that the image is free from any text or watermark, allowing the viewer to fully immerse themselves in the beauty and emotion of the scene."
101,"Create a serene image with a Chinese poem. Picture a tranquil river scene with a fishing boat gliding on the water. The boat is painted in a soft shade of blue, gently following the current. On both sides of the river, vibrant pink peach blossoms bloom, forming a picturesque frame around the boat. The background should depict a misty mountain range, painted in shades of green and gray, evoking a sense of ancient Chinese landscapes. Ensure that there are no text or watermarks in the generated image."
102,"Create a serene image with an ancient Chinese style. The picture should depict a young woman, dressed in traditional attire, standing by the door of a house. The woman should have fair skin and long, flowing black hair. The door should be wooden and painted in a deep red color, adorned with intricate carvings. The house should be situated in a peaceful courtyard, surrounded by lush greenery and blooming flowers. The background should feature a tranquil landscape with misty mountains and a calm river flowing nearby. Ensure that there are no texts or watermarks in the generated image."
103,"Generate an image with a serene scene of ancient Chinese style. The picture should depict a landscape with a river flowing through it. In the foreground, there should be several maple trees with vibrant green leaves, symbolizing the changing seasons. The trees should be positioned on the left side of the image, creating a sense of depth. The river should be depicted as calm and clear, reflecting the surrounding scenery. The water should appear white, representing the five lakes of Yangzhou. The background should showcase rolling hills and distant mountains, painted in shades of blue and gray to create a sense of tranquility. The overall color palette should be soft and muted, evoking a sense of nostalgia. Ensure that there are no text or watermarks in the generated image."
104,"Generate an image with no text or watermark. The image should depict a serene scene in ancient China. In the center of the image, there is a white lotus flower floating on a calm, reflective pond. Surrounding the pond are lush green trees, their leaves gently swaying in the breeze. In the distance, there is a traditional Chinese pavilion with a curved roof, adorned with intricate carvings and vibrant red accents. The pavilion overlooks a misty mountain range, painted in shades of blue and gray. The sky above is a soft, pale pink, with wisps of clouds scattered across it. The overall atmosphere should evoke a sense of tranquility and contemplation."
105,"Generate an image with a Chinese poem theme. The picture should contain a light brown fan with delicate calligraphy, positioned in the center. Surrounding the fan, there should be vibrant cherry blossom trees, blooming with pink flowers. The background should be a serene landscape with a flowing river, a small wooden bridge, and distant mountains. The scene should be in ancient Chinese style, with traditional buildings and pavilions. Ensure that there is no text or watermark in the image."
106,"Generate an image with no text or watermark. The image should depict a serene scene in ancient China. In the foreground, there should be a vibrant red rhododendron (杜鹃) perched on a tree branch, symbolizing the beauty of nature. The rhododendron should be positioned slightly off-center, adding a sense of asymmetry to the image. In the background, there should be a flowing river (嘉陵水) surrounded by lush greenery, reflecting the tranquility of the setting. The river should be positioned diagonally across the image, creating a dynamic composition. The overall color palette should be soft and muted, with warm earth tones dominating the scene."
107,"Generate an image with a serene scene inspired by ancient Chinese poetry. The picture should depict a clear stream flowing through a picturesque landscape. In the foreground, there are blooming peach and plum trees, their delicate pink and white blossoms adding a touch of color. The stream is surrounded by lush green reeds, gently swaying in the breeze, and fragrant white orchids. The background should showcase rolling hills covered in emerald green grass, with a few ancient-style buildings nestled among the hills. The overall color palette should be soft and muted, with shades of green, pink, and white dominating the scene. Ensure that there are no text or watermarks in the generated image."
108,"Text Prompt: Generate an image with no text or watermark. The image should depict a serene scene inspired by ancient Chinese style. In the foreground, there should be a pair of willow trees, their branches swaying gently in the spring breeze. The willow trees should be portrayed with vibrant green leaves and positioned on either side of the image, framing the composition. The background should feature a tranquil landscape with rolling hills, a meandering river, and a traditional Chinese pavilion nestled among the scenery. The hills should be painted in soft shades of blue and green, while the river should shimmer in a gentle shade of azure. The pavilion should be adorned with intricate carvings and have a curved, pagoda-style roof, painted in rich red and gold hues. The overall atmosphere of the image should evoke a sense of tranquility and nostalgia, capturing the emotions and feelings described in the poem."
109,"Generate an image with a serene and ancient Chinese style. The picture should depict a clear spring flowing gently. In the foreground, there should be two figures, one male and one female, holding hands and standing by the water's edge. The male figure should be wearing a traditional Chinese robe in a deep blue color, while the female figure should be dressed in a flowing white gown. The background should be a picturesque landscape with lush green mountains, dotted with ancient Chinese-style buildings. The scene should be bathed in warm golden sunlight, creating a peaceful and nostalgic atmosphere. Ensure that there are no text or watermarks in the generated image."
110,"Create a stunning image with an ancient Chinese style. The picture should depict a scene with a short-winged, green sparrow perched on a branch. The sparrow should be positioned towards the center of the image, with its vibrant green feathers standing out against the background. The background should be a serene landscape, featuring rolling hills and a tranquil river. The hills should be adorned with lush, green vegetation, and the river should reflect the soft hues of the sky. The overall color scheme should be warm and earthy, with hints of gold and red. Ensure that there are no watermarks or text in the generated image."
111,"Create an image with a serene atmosphere. In the center, place a lonely bird's nest, delicately woven with twigs and leaves, symbolizing emptiness. The nest should be positioned on a withered tree branch, emphasizing the passing of time. Surround the nest with a soft, warm glow, representing the fading light of dusk. In the background, depict a tranquil landscape with misty mountains, a flowing river, and ancient Chinese architecture. Use muted colors such as shades of blue, green, and gray to evoke a sense of nostalgia. Ensure that there are no visible texts or watermarks in the generated image."
112,"Create a serene image with a Chinese poem. Picture a landscape painting with vibrant colors. In the foreground, there is a cluster of green pine trees on a mountain, symbolizing longevity and resilience. The trees are positioned on the left side of the image, reaching towards the sky. On the right side, a winding path leads into the distance, disappearing among the hills. The background should be a picturesque scene with misty mountains, flowing rivers, and ancient Chinese-style buildings. The colors should be soft and muted, with shades of blue, green, and gray. Ensure that there are no texts or watermarks in the generated image."
113,"Generate an image with no text or watermark. The picture should depict a serene scene inspired by ancient Chinese style. In the foreground, there is a vast expanse of vibrant green grass, symbolizing the arrival of spring. The grass stretches for miles, representing the vastness of the landscape. The color of the grass should be a vivid shade of green. In the middle ground, a majestic river, resembling the Yellow River, flows endlessly from west to east. The river should be depicted in a deep shade of blue, reflecting its ancient significance. The background should showcase rolling hills, painted in soft shades of green and brown, creating a sense of tranquility. The scene should be bathed in warm, golden sunlight, evoking a feeling of peace and harmony."
114,"Generate an image with a serene landscape of ancient China. The foreground should depict a pair of flowing rivers, one on each side of the image. The rivers should be painted in a light shade of blue, reflecting the clear sky above. In the middle ground, there should be a small boat floating on one of the rivers, painted in a soft shade of brown. The boat should be empty, symbolizing the poet's desire to leave his earthly troubles behind. The background should showcase rolling hills covered in lush greenery, with a few ancient Chinese-style buildings scattered among the landscape. The buildings should be painted in muted shades of gray and brown, blending harmoniously with the natural surroundings. The scene should be bathed in warm sunlight, casting a gentle glow over the entire image. Ensure that there are no text or watermarks present in the generated image."
115,"Create a serene painting with falling cherry blossoms and singing birds. The picture should have a tranquil atmosphere with a mountain view in the background. The falling cherry blossoms should be depicted in shades of pink, gracefully descending from the top of the picture. The birds should be portrayed in various colors, perched on tree branches or flying freely in the sky. The mountain view should be in soft shades of green, with misty clouds surrounding the peaks. Ensure that there are no texts or watermarks in the image."
116,"Generate an image with no text or watermark. The picture should depict a vibrant scene from ancient China. In the foreground, there are horses of various colors, galloping on a bustling street. The horses are adorned with colorful saddles and bridles. The background should showcase traditional Chinese architecture, with pagodas and pavilions nestled among lush gardens. The color palette should consist of rich, earthy tones, with hints of red, gold, and green. The overall atmosphere should evoke a sense of grandeur and opulence."
117,"Generate an image with a serene and ancient Chinese style. The picture should depict a thatched cottage, colored in earthy tones, positioned in the foreground. The cottage should face the majestic Zhongnan Mountain, which should be depicted in the background. The mountain should be painted in shades of green and brown, with misty clouds surrounding its peaks. Ensure that the image does not contain any text or watermarks."
118,"Generate an image with no text or watermark. The image should depict a snowy landscape with ancient Chinese-style buildings. In the foreground, there should be a path covered in white snow. The path leads to a grand city with numerous golden gates and houses. The gates and houses should be painted in vibrant colors, such as red, green, and blue, to represent the ancient Chinese architectural style. The background should be a serene scene with mountains and trees covered in snow. The overall color scheme should be cool tones, with shades of white, blue, and gray dominating the image."
119,"Generate an image with no text or watermark. The image should depict a scene inspired by ancient Chinese style. In the center of the image, there should be a vibrant red courtyard (彤庭) with a hanging silk thread (散绶) and a chiming jade pendant (鸣珰). The courtyard is adorned with traditional Chinese architecture and surrounded by lush greenery. On the left side of the courtyard, a majestic phoenix (鸾) is perched on a branch, emitting a melodious sound (哕哕). On the right side, a flag bearing the emblem of the Duke of Lu (鲁侯旗) is fluttering in the wind. The background of the image should be a serene landscape with rolling hills, a tranquil river, and a clear blue sky. The colors used should be rich and vibrant, with a touch of gold and jade accents to enhance the ancient Chinese aesthetic."
120,"Create a serene image with ancient Chinese elements. The picture should feature a vibrant, golden sun rising in the center, casting its warm rays in all directions. Surrounding the sun, there should be a lush, green landscape with blooming cherry blossom trees. In the foreground, position a tranquil, flowing river with clear, blue water. On the riverbank, place a traditional Chinese pavilion with a curved, red roof and intricate, white lattice walls. The pavilion should be adorned with elegant, hanging lanterns. The background should showcase misty mountains in shades of blue and purple, symbolizing tranquility. Ensure that there are no text or watermarks in the image."
121,"Generate an image with no text or watermark. The picture should depict a scene inspired by ancient Chinese style. In the foreground, there is a table with a bottle of amber-colored wine and a plate of carved rice. The wine bottle is placed on the left side of the table, while the plate of rice is on the right side. The background should be a serene landscape with mountains, rivers, and a setting sun. The color palette should consist of warm tones, with shades of gold, amber, and earthy colors dominating the scene."
122,"Create a serene image with no text or watermark. In the center, place two majestic yellow cranes soaring through the sky. Their golden feathers shimmer in the sunlight. Surround them with a picturesque landscape of ancient Chinese architecture, nestled amidst lush green mountains. The buildings should be adorned with traditional red roofs and intricate carvings. The scene should be set during a tranquil sunset, with hues of orange, pink, and purple painting the sky. Ensure that the image captures the essence of ancient Chinese beauty and tranquility."
123,"Create a serene image with a Chinese ancient style. The picture should depict a tranquil scene with a clear night sky. In the center, position a majestic, purple-colored celestial object resembling the ""紫微"" (Ziwei) constellation. Surround it with twinkling stars and a faint moon. The background should be a picturesque landscape with traditional Chinese architecture, such as pagodas and pavilions, nestled among lush mountains and flowing rivers. Ensure that there are no texts or watermarks in the generated image."
124,"Generate an image with no text or watermark. The picture should depict a serene scene inspired by ancient Chinese style. In the foreground, there is a clear blue river with ripples, surrounded by lush green reeds and grass. The river reflects the vibrant colors of the setting sun, casting a warm golden glow. In the distance, there are majestic mountains, their peaks touched by the fading light of the day. The mountains are adorned with ancient temples and pagodas, showcasing the rich cultural heritage of China. The overall color palette should be dominated by shades of blue, green, and gold, creating a tranquil and nostalgic atmosphere."
125,"Create a serene image with an ancient Chinese style. The picture should depict a tranquil scene with a river flowing beneath a mountain. The mountain should be painted in shades of green and brown, with lush trees and vegetation. The river should be a clear blue, reflecting the surrounding landscape. In the foreground, there should be a person playing a drum, dressed in traditional Chinese attire. Beside them, another person should be playing a flute. The flute player should be positioned near a small pavilion, adorned with intricate carvings and a curved roof. The pavilion should be painted in vibrant red and gold colors. The background should feature a clear sky, painted in soft shades of pink and orange, indicating the setting sun. The overall atmosphere should evoke a sense of tranquility and harmony. There should be no text or watermark in this generated image."
126,"Create a serene image with no text or watermark. The picture should depict a tranquil scene inspired by ancient Chinese style. In the foreground, there is a lush green mountain with a gentle waterfall cascading down its side. The water appears crystal clear, reflecting the vibrant colors of the surrounding landscape. The sky above is adorned with scattered clouds, hinting at the recent passing of rain. The overall color palette should be dominated by shades of green, with touches of blue and white. The scene should evoke a sense of calmness and tranquility, capturing the emotions described in the poem."
127,"Create a serene image with a Chinese poem. Generate an image with a waterfall in the southern mountains. The waterfall should be cascading down the rocks, resembling a thunderous roar. The color of the water should be crystal clear, reflecting the surrounding scenery. Position the waterfall in the center of the image, with lush greenery on either side. The background should depict ancient Chinese-style buildings nestled among the mountains, with misty clouds floating above. Ensure that there are no texts or watermarks in the generated image."
128,"Create a serene image with a Chinese poem. Picture a tranquil garden with vibrant green trees casting a soothing shade. In the center, a person walks away from spring and towards summer, symbolizing transition. The person should be dressed in traditional Chinese attire, with a calm expression. The background should be a picturesque landscape with mountains, a flowing river, and a pagoda in the distance. The color palette should consist of soft pastels, with hints of pink, blue, and green. Ensure there are no watermarks or text in the image."
129,"Create a serene image with an ancient Chinese style. The picture should depict a river surrounded by lush green trees and grass. In the foreground, there should be a small boat floating on the river. The boat should be painted in a traditional Chinese color, such as vermilion or indigo, and positioned slightly off-center. The river should be calm, reflecting the vibrant colors of the surrounding nature. The background should showcase rolling hills and distant mountains, painted in shades of blue and gray to create a sense of depth. Ensure that there are no text or watermarks in the generated image."
130,"Create a serene image with a Chinese poem. Picture a tranquil garden with a weeping willow tree on the left side, its branches cascading down towards a small pond. The tree is adorned with delicate pink cherry blossoms, gently falling to the ground. In the center of the image, there is a stone bench, weathered by time, where a person is sitting. The person is dressed in traditional Chinese attire, lost in thought. The background is a picturesque landscape with rolling hills, painted in soft shades of green and blue. The scene is set during sunset, casting a warm golden glow over the entire garden. Ensure that there are no text or watermarks in the generated image."
131,"Generate an image with a serene and ancient Chinese setting. The foreground should depict delicate pink flowers blooming by a tranquil stream. The flowers should be scattered along the edge of the stream, creating a soft and ethereal atmosphere. The stream should be crystal clear, reflecting the moonlight that illuminates the scene. The moon should be visible in the sky, casting a gentle glow on the surroundings. The background should consist of misty mountains, shrouded in a subtle haze, evoking a sense of mystery and tranquility. The mountains should be adorned with ancient Chinese architecture, such as pagodas or temples, blending harmoniously with the natural landscape. Ensure that there are no text or watermarks in the generated image."
